rider_id,rider_name,store_id,shift,vehicle_type,employment_type,rating
1,Sumit Mishra,18,Afternoon,Scooter,Full-Time,4.5
2,Gaurav Pal,17,Evening,EV,Full-Time,4.9
3,Mohit Saini,17,Afternoon,Bike,Part-Time,4.3
4,Arjun Chauhan,12,Evening,EV,Part-Time,4.4
5,Sumit Patel,20,Morning,EV,Part-Time,4.0
6,Pankaj Thakur,6,Afternoon,Bike,Full-Time,4.3
7,Vivek Pal,14,Morning,Bike,Part-Time,4.5
8,Rohit Meena,4,Evening,EV,Part-Time,3.8
9,Abhishek Meena,11,Morning,Bike,Part-Time,4.2
10,Deepak Mishra,4,Afternoon,EV,Part-Time,3.9
11,Mohit Mishra,20,Afternoon,Scooter,Part-Time,3.8
12,Abhishek Mishra,19,Morning,EV,Full-Time,4.6
13,Deepak Jha,13,Evening,Bike,Part-Time,4.7
14,Manish Gupta,2,Morning,EV,Full-Time,4.0
15,Manish Mishra,20,Evening,Scooter,Full-Time,4.1
16,Vikas Gupta,20,Evening,EV,Part-Time,4.8
17,Karan Thakur,11,Morning,EV,Part-Time,4.7
18,Pankaj Kumar,12,Evening,Scooter,Full-Time,4.1
19,Gaurav Singh,12,Morning,Scooter,Part-Time,4.7
20,Arjun Meena,2,Evening,Scooter,Part-Time,4.6
21,Arjun Patel,15,Morning,EV,Full-Time,4.5
22,Sandeep Kumar,7,Afternoon,Scooter,Part-Time,3.9
23,Ajay Yadav,6,Afternoon,Bike,Part-Time,4.6
24,Mohit Verma,2,Morning,EV,Part-Time,4.1
25,Rahul Patel,11,Afternoon,EV,Full-Time,5.0
26,Sachin Meena,20,Morning,Scooter,Full-Time,4.6
27,Gaurav Pal,18,Afternoon,Scooter,Full-Time,3.9
28,Ankit Singh,2,Afternoon,Bike,Part-Time,4.3
29,Abhishek Thakur,8,Afternoon,EV,Full-Time,4.6
30,Ashish Thakur,17,Evening,EV,Part-Time,4.0
31,Rahul Meena,9,Evening,Bike,Part-Time,4.2
32,Rohit Singh,10,Morning,Scooter,Full-Time,4.3
33,Ajay Gupta,13,Afternoon,EV,Full-Time,4.7
34,Mohit Gupta,2,Morning,Scooter,Full-Time,4.6
35,Sandeep Saini,5,Afternoon,Scooter,Full-Time,3.9
36,Sandeep Thakur,1,Evening,Scooter,Part-Time,4.0
37,Gaurav Gupta,5,Evening,Scooter,Part-Time,4.1
38,Ajay Thakur,7,Afternoon,Scooter,Part-Time,4.2
39,Ajay Verma,12,Afternoon,EV,Part-Time,4.8
40,Manish Thakur,6,Afternoon,Scooter,Part-Time,4.0
41,Deepak Sharma,12,Evening,EV,Full-Time,4.5
42,Abhishek Thakur,18,Evening,Scooter,Full-Time,4.9
43,Rahul Pandey,11,Evening,Scooter,Full-Time,4.7
44,Vikas Pandey,6,Afternoon,Scooter,Full-Time,4.7
45,Deepak Jha,2,Evening,Scooter,Full-Time,4.4
46,Sachin Chauhan,1,Evening,Bike,Part-Time,4.0
47,Ashish Pal,10,Afternoon,EV,Part-Time,4.5
48,Karan Singh,19,Evening,Bike,Full-Time,5.0
49,Ashish Chauhan,10,Morning,EV,Part-Time,4.6
50,Vikas Singh,2,Afternoon,Scooter,Full-Time,5.0
51,Vikas Thakur,10,Afternoon,Bike,Full-Time,3.9
52,Amit Jha,6,Afternoon,Scooter,Part-Time,4.3
53,Rahul Pandey,7,Evening,EV,Full-Time,4.3
54,Ashish Meena,2,Evening,Scooter,Part-Time,4.7
55,Ajay Patel,20,Evening,EV,Full-Time,4.0
56,Rahul Jha,14,Evening,EV,Part-Time,4.2
57,Ashish Yadav,1,Evening,EV,Part-Time,4.6
58,Karan Saini,20,Afternoon,Scooter,Full-Time,3.9
59,Deepak Meena,17,Evening,EV,Full-Time,4.8
60,Arjun Mishra,6,Evening,Bike,Part-Time,4.3
61,Deepak Singh,13,Evening,Scooter,Part-Time,4.6
62,Amit Meena,15,Evening,Scooter,Full-Time,4.9
63,Sumit Pal,4,Afternoon,EV,Part-Time,3.9
64,Sachin Yadav,11,Evening,EV,Full-Time,4.7
65,Pankaj Mishra,13,Afternoon,Bike,Part-Time,4.1
66,Mohit Gupta,2,Afternoon,EV,Full-Time,4.6
67,Ashish Mishra,10,Afternoon,Bike,Full-Time,4.9
68,Pankaj Jha,14,Evening,Scooter,Part-Time,4.4
69,Arjun Pal,3,Evening,Bike,Full-Time,4.8
70,Sachin Kumar,4,Morning,Bike,Full-Time,4.0
71,Mohit Saini,6,Afternoon,EV,Part-Time,4.7
72,Ajay Pal,20,Afternoon,Bike,Full-Time,3.8
73,Sumit Singh,2,Evening,EV,Full-Time,3.8
74,Mohit Verma,7,Evening,Scooter,Part-Time,4.6
75,Rahul Gupta,7,Morning,Scooter,Full-Time,4.8
76,Vikas Gupta,5,Morning,EV,Part-Time,4.1
77,Gaurav Yadav,4,Evening,Scooter,Full-Time,4.7
78,Abhishek Gupta,10,Afternoon,EV,Full-Time,4.2
79,Abhishek Yadav,20,Afternoon,EV,Full-Time,4.0
80,Manish Sharma,6,Morning,Scooter,Part-Time,4.1
81,Sandeep Singh,1,Evening,Bike,Part-Time,4.1
82,Nitin Sharma,20,Afternoon,Bike,Full-Time,4.1
83,Karan Pal,7,Afternoon,Scooter,Part-Time,4.1
84,Arjun Gupta,20,Morning,EV,Full-Time,4.5
85,Sandeep Pal,12,Afternoon,EV,Part-Time,4.1
86,Nitin Verma,12,Afternoon,Bike,Part-Time,4.1
87,Arjun Chauhan,3,Afternoon,Scooter,Part-Time,4.5
88,Nitin Chauhan,1,Afternoon,Scooter,Full-Time,4.8
89,Mohit Jha,19,Evening,Scooter,Part-Time,4.0
90,Gaurav Jha,6,Afternoon,EV,Full-Time,4.7
91,Gaurav Singh,19,Afternoon,Bike,Part-Time,4.9
92,Ajay Jha,1,Afternoon,Scooter,Full-Time,4.4
93,Amit Saini,20,Morning,Scooter,Part-Time,4.4
94,Manish Patel,3,Evening,EV,Part-Time,4.4
95,Sandeep Sharma,10,Evening,Bike,Full-Time,4.0
96,Ajay Patel,9,Afternoon,Scooter,Full-Time,4.3
97,Rohit Singh,19,Afternoon,EV,Part-Time,3.9
98,Manish Yadav,2,Afternoon,Scooter,Full-Time,4.5
99,Abhishek Patel,2,Evening,Bike,Full-Time,4.6
100,Mohit Thakur,19,Morning,Scooter,Full-Time,5.0
101,Gaurav Gupta,7,Evening,EV,Part-Time,4.5
102,Rohit Thakur,10,Evening,EV,Part-Time,3.9
103,Gaurav Singh,11,Morning,Bike,Full-Time,4.0
104,Mohit Sharma,11,Afternoon,EV,Part-Time,5.0
105,Mohit Verma,18,Evening,Scooter,Full-Time,4.6
106,Ankit Thakur,17,Evening,Scooter,Full-Time,4.9
107,Vikas Pal,19,Evening,Bike,Full-Time,3.9
108,Ankit Sharma,7,Evening,Bike,Full-Time,4.0
109,Sachin Chauhan,2,Afternoon,EV,Full-Time,3.8
110,Sandeep Meena,19,Evening,Bike,Part-Time,4.4
111,Abhishek Mishra,6,Evening,EV,Part-Time,4.9
112,Nitin Pal,2,Afternoon,Bike,Part-Time,4.0
113,Rohit Pandey,19,Afternoon,EV,Part-Time,4.8
114,Karan Chauhan,1,Evening,Bike,Full-Time,4.9
115,Ankit Mishra,12,Morning,EV,Part-Time,4.2
116,Vivek Pal,13,Morning,EV,Full-Time,4.4
117,Abhishek Chauhan,18,Evening,Bike,Full-Time,4.5
